,terms,frequency,value
0,python,1297,19.71664829106946
1,linux,752,19.478693181818183
2,java,512,21.062706270627064
3,web,467,17.970689655172414
4,mysql,454,19.43891402714932
5,c,436,20.588687150837988
6,shell,346,19.596153846153847
7,redis,246,19.40740740740741
8,php,198,19.827102803738317
9,hadoop,196,24.07777777777778
10,sql,191,19.585062240663902
11,spark,185,24.419540229885058
12,javascript,175,18.942307692307693
13,mongodb,158,19.907692307692308
14,http,143,19.162790697674417
16,tcp,141,19.176470588235293
15,django,141,17.872093023255815
17,go,136,20.271676300578033
18,unix,128,24.0
19,ip,120,18.774285714285714
20,docker,119,19.857142857142858
21,html,116,16.083333333333332
22,nosql,112,19.603448275862068
23,css,111,16.26086956521739
24,nginx,109,17.9
25,api,108,18.363636363636363
26,hive,103,22.05
27,oracle,102,20.336363636363636
28,flask,91,18.57894736842105
29,hbase,88,19.532258064516128
30,c++,84,20.588687150837988
31,git,83,20.973118279569892
32,golang,77,22.6864406779661
33,perl,77,19.25
34,js,76,18.882882882882882
35,react,76,16.5
36,scala,75,27.04054054054054
37,jquery,74,17.57894736842105
38,kafka,74,21.067307692307693
39,app,72,17.294520547945204
40,github,71,23.294117647058822
41,tornado,70,18.532258064516128
42,vue,68,16.903225806451612
43,ai,66,25.5
44,nodejs,62,21.1625
45,etl,60,
46,windows,58,18.05263157894737
48,ruby,56,19.7375
47,node.js,56,18.46
49,bootstrap,55,18.354166666666668
50,devops,54,21.791666666666668
51,aws,51,30.5
52,restful,50,18.625
53,postgresql,50,18.321428571428573
54,server,50,18.726190476190474
55,html5,48,15.333333333333334
56,tomcat,45,17.81578947368421
57,storm,43,21.82608695652174
58,elasticsearch,41,16.5625
59,zabbix,40,18.466666666666665
60,android,40,17.94736842105263
61,jenkins,39,16.829545454545453
62,kubernetes,38,21.96153846153846
63,tensorflow,37,27.29310344827586
64,apache,37,16.948275862068964
65,nlp,36,18.0
66,spring,36,18.892857142857142
67,ui,35,19.428571428571427
68,bi,35,19.47596153846154
69,ansible,35,21.39814814814815
70,ios,33,18.767857142857142
71,ros,32,19.705882352941178
72,mapreduce,32,18.1
73,css3,32,17.357142857142858
74,angular,30,18.55263157894737
75,matlab,30,22.181818181818183
78,socket,29,20.37
76,rabbitmq,29,17.9375
77,webpack,29,17.916666666666668
79,hdfs,27,26.4375
80,experience,27,25.466666666666665
81,scrapy,26,17.375
82,ajax,26,16.40909090909091
83,ci,24,22.71818181818182
84,h5,24,14.0
85,bug,24,17.181818181818183
86,angularjs,24,16.571428571428573
87,lua,24,20.916666666666668
91,cloud,23,18.34090909090909
92,es6,23,16.8
93,you,23,22.178571428571427
90,qt,23,14.8
88,r,23,20.677342823250296
89,caffe,23,25.1875
94,bash,22,17.76086956521739
95,memcache,22,21.162790697674417
96,flume,22,21.85
97,websocket,21,19.133333333333333
98,kvm,21,21.125
99,memcached,21,20.821428571428573
100,mvc,21,19.375
101,lvs,21,19.65
102,cdn,21,30.0
105,elk,20,15.583333333333334
106,case,20,25.77777777777778
107,saltstack,20,23.35185185185185
104,pc,20,20.666666666666668
103,gulp,20,17.6875
108,opencv,19,22.625
109,selenium,19,15.144736842105264
110,nagios,19,19.945945945945947
111,rest,18,18.63235294117647
112,mybatis,18,19.333333333333332
113,service,18,23.029411764705884
116,cmdb,17,22.5
115,vue.js,17,18.375
114,openstack,17,18.157894736842106
117,udp,16,17.0
118,maven,16,18.333333333333332
119,numpy,16,23.029411764705884
120,dns,16,23.75
121,zookeeper,16,17.214285714285715
122,sqoop,16,22.3125
123,haproxy,16,22.6
